timestamp,window,interval,type,miss_prob,unique_sensors,expected,expected_adj,received,valid,expected_missed,errs,sim_sent,sim_missing,sim_missed,missing_rate_g,missing_rate_adj,missing_rate_g_sim,missing_rate_adj_sim,sim_outlier,outliers,outlier_error_percent
2025-09-26 00:34:54,300,5,all,0.15,20,1200,1020,1020,848,180,0,1203,181,183,15.00,0.00,15.21,0.17,103,172,66.99
2025-09-26 00:35:19,180,5,all,0.15,20,720,612,609,504,111,0,720,115,111,15.42,0.49,15.42,0.00,62,105,69.35
2025-09-26 00:35:50,180,5,all,0.15,20,720,612,605,509,115,0,720,115,115,15.97,1.14,15.97,0.00,59,96,62.71
2025-09-26 00:36:20,180,5,all,0.15,20,720,612,604,519,116,0,723,119,119,16.11,1.31,16.46,0.00,54,85,57.41
2025-09-26 00:36:51,180,5,all,0.15,20,720,612,605,520,115,0,722,118,117,15.97,1.14,16.20,0.00,55,85,54.55
2025-09-26 00:37:21,180,5,all,0.15,20,720,612,600,507,120,0,726,122,126,16.67,1.96,17.36,0.55,61,93,52.46
2025-09-26 00:37:52,180,5,all,0.15,20,720,612,605,506,115,0,722,119,117,15.97,1.14,16.20,0.00,67,99,47.76
2025-09-26 00:38:22,180,5,all,0.15,20,720,612,601,505,119,0,720,122,119,16.53,1.80,16.53,0.00,61,96,57.38
2025-09-26 00:38:53,180,5,all,0.15,20,720,612,607,500,113,0,720,115,113,15.69,0.82,15.69,0.00,69,107,55.07
2025-09-26 00:39:23,180,5,all,0.15,20,720,612,610,496,110,0,723,111,113,15.28,0.33,15.63,0.28,67,114,70.15
2025-09-26 00:39:54,180,5,all,0.15,20,720,612,608,504,112,0,720,113,112,15.56,0.65,15.56,0.00,62,104,67.74
2025-09-26 00:40:25,180,5,all,0.15,20,720,612,617,517,103,0,721,103,104,14.31,0.00,14.42,0.14,59,100,69.49
2025-09-26 00:40:55,180,5,all,0.15,20,720,612,613,515,107,0,723,109,110,14.86,0.00,15.21,0.14,59,98,66.10
2025-09-26 00:41:26,180,5,all,0.15,20,720,612,622,523,98,0,723,102,101,13.61,0.00,13.97,0.00,62,99,59.68
